disbiome_disease	meddra_id	mondo_id	mondo_label	mesh_ids	match_method	confidence	status	meddra_corroborates	ambiguous	n_experiments
Allergic rhinoconjunctivitis	10001728				UNMAPPED	0.0	unmapped			2
Nasolacrimal duct obstruction	10029967	MONDO:7770473	nasolacrimal duct obstruction, alpaca		token_subset_narrower	0.75	review			2
Cognitive impairment	10057668				UNMAPPED	0.0	unmapped			2
Acute skin abscess	10000269	MONDO:0005227	abscess	D000038	token_subset_broader	0.75	review			1
Granulomatous mastitis	10026883	MONDO:0018987	granulomatous mastitis	D058890	mondo_label	1.0	confirmed			1
severe skin and soft tissue infection	10040872				UNMAPPED	0.0	unmapped			1
Gastro-oesophageal reflux disease	10017885	MONDO:0007186	gastroesophageal reflux disease	D005764	fuzzy_suggestion	0.6	review			1
Ascites	10003445	MONDO:7770031	ascites, cockatiel		token_subset_narrower	0.75	review			1
Enthesitis-related arthritis	10072745	MONDO:0019437	enthesitis-related juvenile idiopathic arthritis		mondo_related_synonym	0.85	confirmed			1
Neuropathic bladder	10029327	MONDO:0019395	Hinman syndrome		token_subset_narrower	0.75	review			1
Small intestine neoplasm	10054184	MONDO:0004251	small intestine neoplasm		mondo_label	1.0	confirmed			1
Sensitive scalp	10049120				UNMAPPED	0.0	unmapped			1
Bronchiolitis	10006448	MONDO:0002465	bronchiolitis	D001988	mondo_label	1.0	confirmed			1
Kostmann syndrome	10052213	MONDO:0012548	Kostmann syndrome	C537592	mondo_label	1.0	confirmed			1
Miscarriage	10027649				UNMAPPED	0.0	unmapped			1
Vestibulodynia					UNMAPPED	0.0	unmapped			1
Folliculitis decalvans	10063921	MONDO:0018103	Quinquaud's folliculitis decalvans		mondo_related_synonym	0.85	confirmed			1
Vulvodynia	10047781	MONDO:0021722	vulvodynia	D056650	mondo_label	1.0	confirmed			1
